disease_name,source_pathogen,network_pathogen,host,host_tax_id,host_role_assignment,assignment_status,assignment_confidence,evidence_record_ids,assignment_basis,needs_manual_review,review_notes
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:WHO Crimean-Congo haemorrhagic fever fact sheet,WHO describes human infection from ticks or infected animal blood and tissues.,FALSE,Spillover/incidental human role with nosocomial caveat.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,Struthio camelus,8801,susceptible_host_only,draft_source_backed,medium,host_role_evidence:WHO Crimean-Congo haemorrhagic fever fact sheet,WHO describes ostriches as susceptible in endemic areas.,TRUE,Susceptible host row only; not generalized to all birds.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,wild ungulates,,susceptible_host_only,draft_source_backed,low,host_role_evidence:Spengler 2016 domestic and wild animals review | CDC EID animal exposure model,Wild ungulate exposure support used only as a broad proxy breadcrumb.,TRUE,Group-level susceptible-host assignment for modelling proxy only; exact species remain caveated.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,small rodents,,amplifying_host,draft_source_backed,high,host_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC Yellow Book describes small rodents as primary amplifying hosts.,TRUE,Group-level assignment added despite no local host candidate row.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:CDC Transmission of Tick-borne Encephalitis,CDC describes TBE human infection as tick-borne or foodborne spillover rather than maintenance.,TRUE,Human incidental/dead-end caveat; do not treat as reservoir or amplifier.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Bos taurus,9913,susceptible_host_only,draft_source_backed,medium,host_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC names infected cows as sources of unpasteurized dairy transmission.,TRUE,Susceptible/foodborne-spillover context only; not maintenance or reservoir evidence.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Capra hircus,9925,susceptible_host_only,draft_source_backed,medium,host_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC names infected goats as sources of unpasteurized dairy transmission.,TRUE,Susceptible/foodborne-spillover context only; not maintenance or reservoir evidence.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Ovis aries,9940,susceptible_host_only,draft_source_backed,medium,host_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC names infected sheep as sources of unpasteurized dairy transmission.,TRUE,Susceptible/foodborne-spillover context only; not maintenance or reservoir evidence.
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Bandavirus dabieense,domesticated animals,,host_presence_only,defer_insufficient_evidence,medium,host_role_evidence:CDC Emerging Infectious Diseases SFTSV among Domesticated Animals China,CDC EID article supports natural infection in domesticated animals but not a clear role assignment.,TRUE,Kept as host-presence only rather than reservoir or amplification assignment.
Oropouche fever,Orthobunyavirus oropoucheense,Orthobunyavirus oropoucheense,sloths and non-human primates,,reservoir_host_group,draft_needs_review,medium,host_role_evidence:WHO Oropouche virus disease fact sheet,WHO describes sloths and non-human primates as sylvatic vertebrate hosts but source certainty remains incomplete.,TRUE,Group-level and uncertain sylvatic host assignment.
Oropouche fever,Orthobunyavirus oropoucheense,Orthobunyavirus oropoucheense,Homo sapiens,9606,amplifying_host,draft_needs_review,medium,host_role_evidence:PAHO Oropouche epidemiological update,PAHO describes humans as acting as amplifying hosts in Oropouche transmission.,TRUE,Review because Oropouche ecology is actively evolving and vector attribution is incomplete.
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,African fruit bats,,reservoir_host_group,draft_needs_review,medium,host_role_evidence:CDC How Ebola Disease Spreads,CDC says African fruit bats are believed to be involved and may be the source of orthoebolaviruses.,TRUE,Group-level likely reservoir assignment only.
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:WHO Ebola disease fact sheet,WHO describes human-to-human transmission via infected body fluids.,FALSE,Outbreak amplification role; not reservoir.
Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Orthoebolavirus sudanense,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:CDC Viral Hemorrhagic Fevers About,CDC describes filovirus person-to-person spread after introduction.,FALSE,Human outbreak amplification role.
Marburg virus disease,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Rousettus aegyptiacus,9407,reservoir_host,draft_source_backed,high,host_role_evidence:WHO Marburg virus disease fact sheet,WHO identifies Rousettus aegyptiacus as natural host for Marburg virus.,FALSE,Species-level reservoir assignment.
Marburg virus disease,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:Marburg Virus Disease - StatPearls,StatPearls describes human-to-human transmission through infected bodily fluids.,FALSE,Outbreak amplification role.
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Pteropus spp.,pteropus spp,reservoir_host_group,draft_source_backed,high,host_role_evidence:WHO Nipah virus fact sheet,WHO identifies Pteropodidae fruit bats as natural host of Nipah virus.,TRUE,Group-level reservoir assignment only.
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Sus scrofa,9823,amplifying_host,draft_source_backed,high,host_role_evidence:WHO Nipah virus fact sheet,WHO describes pig-farm outbreak control and animal transmission to humans.,FALSE,Domestic pig intermediate/amplifying-host assignment.
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Homo sapiens,9606,amplifying_host,draft_needs_review,medium,host_role_evidence:WHO Nipah virus fact sheet,WHO notes human-to-human transmission mitigation in health-care facilities.,TRUE,Context-dependent human transmission role.
Lassa fever,Mammarenavirus lassaense,Mammarenavirus lassaense,Mastomys natalensis,10112,reservoir_host,draft_source_backed,high,host_role_evidence:WHO Lassa fever fact sheet,WHO describes Mastomys rats as the main reservoir of Lassa virus.,FALSE,Species-level reservoir assignment.
Lassa fever,Mammarenavirus lassaense,Mammarenavirus lassaense,Homo sapiens,9606,amplifying_host,draft_needs_review,medium,host_role_evidence:WHO Lassa fever fact sheet,WHO notes human-to-human transmission mitigation in health-care facilities.,TRUE,Context-dependent human transmission role.
Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Orthohantavirus hantanense,Apodemus agrarius,39030,reservoir_host,draft_source_backed,high,host_role_evidence:CDC Emerging Infectious Diseases HFRS in US Soldiers South Korea,CDC EID article identifies Apodemus agrarius as Hantaan virus reservoir host.,FALSE,Species-level reservoir assignment.
Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Orthohantavirus hantanense,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:CDC HFRS Clinician Brief,CDC HFRS guidance supports rodent-associated spillover infection in humans.,FALSE,Human spillover/incidental role.
Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Orthohantavirus hantanense,Apodemus chejuensis,754351,reservoir_host,draft_needs_review,medium,host_role_evidence:source_check:manual_hfrs_hantaan_apodemus_chejuensis,Caveated Jeju A. chejuensis-borne HTNV evidence supports a reservoir/etiologic-source role for the local species row.,TRUE,"source_check_candidate_id=manual_hfrs_hantaan_apodemus_chejuensis; caveat=provisional Jeju Island A. agrarius chejuensis evidence mapped to local Apodemus chejuensis row; keep review-needed and do not generalize to other Apodemus rows."
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,Calomys musculinus,56212,reservoir_host,draft_source_backed,high,host_role_evidence:UKHSA Argentine haemorrhagic fever guidance,UKHSA guidance identifies Calomys rodents as the animal reservoir for Junin virus.,FALSE,Species-level reservoir assignment.
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,Calomys laucha,56211,reservoir_host,draft_needs_review,low,host_role_evidence:source_check:candidate_046,Canada PSDS names C. laucha among principal JUNV reservoirs but Mills et al. found a much weaker antigen-positive signal than for C. musculinus.,TRUE,"source_check_candidate_id=candidate_046; caveat=secondary/minor reservoir candidate; keep separate from primary C. musculinus and do not generalize to all Calomys or rodents."
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:UKHSA Argentine haemorrhagic fever guidance,UKHSA guidance describes human-to-human transmission as very rare.,FALSE,Human spillover/incidental role.
Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae (H5N1),wild aquatic birds,wild aquatic birds,reservoir_host_group,draft_source_backed,high,host_role_evidence:CDC Bird Flu Current Situation in Wild Birds,CDC describes wild aquatic birds as natural hosts for bird flu viruses.,TRUE,Group-level assignment only.
Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae (H5N1),Gallus gallus,9031,amplifying_host,draft_source_backed,medium,host_role_evidence:WHO Influenza avian and other zoonotic fact sheet,WHO describes recurrent A(H5N1) epizootics and extensive poultry infections.,TRUE,Domestic poultry outbreak amplification role; keep caveat visible because source wording is poultry-level.
Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae (H5N1),Bos taurus,9913,susceptible_host_only,draft_source_backed,medium,host_role_evidence:WHO Influenza avian and other zoonotic fact sheet,WHO reports A(H5N1) outbreaks in dairy cattle and exposed dairy worker infections.,TRUE,Recent cattle host evidence without reservoir assignment.
Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae (H5N1),Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:WHO Influenza avian and other zoonotic fact sheet,WHO states zoonotic influenza human infections are sporadic and no sustained human-to-human transmission is demonstrated.,FALSE,Human spillover/incidental role.
Mpox (Monkeypox),Orthopoxvirus monkeypox,Orthopoxvirus monkeypox,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:WHO Mpox fact sheet,WHO states mpox spreads person to person mainly through close contact.,FALSE,Human outbreak amplification role.
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Capra hircus,9925,amplifying_host,draft_source_backed,high,host_role_evidence:source_check:candidate_006,Direct review support for goat as part of named amplifying livestock set.,TRUE,"source_check_candidate_id=candidate_006; caveat=Species-level row derived from livestock statement; goat-specific support is explicit but not a controlled species-only study.; decision_reason=Direct review support for goat as part of named amplifying livestock set.; source_access=abstract_only; file_name=linthicum2016.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 58-60, 600-601"
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Ovis aries,9940,amplifying_host,draft_source_backed,high,host_role_evidence:source_check:candidate_007,Direct review support for sheep as part of named amplifying livestock set.,TRUE,"source_check_candidate_id=candidate_007; caveat=Species-level row derived from livestock statement; sheep-specific support is explicit and strongest among livestock.; decision_reason=Direct review support for sheep as part of named amplifying livestock set.; source_access=abstract_only; file_name=linthicum2016.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 58-60, 600-601"
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Camelus dromedarius,9838,amplifying_host,draft_source_backed,medium,host_role_evidence:manual_rvf_camelus_dromedarius,Review plus official-source support for camel as part of named RVF livestock host set.,TRUE,"source_check_candidate_id=manual_rvf_camelus_dromedarius; caveat=Camel support is livestock-level/review-derived and weaker than sheep/goat; keep review-needed.; source_check_method=bounded_web_plus_existing_source_check"
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Bubalus bubalis,89462,susceptible_host_only,draft_source_backed,medium,host_role_evidence:manual_rvf_bubalus_bubalis,Official sources support domestic buffalo susceptibility but not a defensible amplifying-host assignment.,TRUE,"source_check_candidate_id=manual_rvf_bubalus_bubalis; caveat=Susceptible livestock row only, not reservoir or amplifying-host evidence.; source_check_method=bounded_web"
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Pteropus hypomelanus,9405,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:candidate_012,Direct live-virus isolation from species-level bat source.,TRUE,"source_check_candidate_id=candidate_012; caveat=Malaysia/Island flying-fox context.; decision_reason=Direct live-virus isolation from species-level bat source.; source_access=abstract_only; file_name=1-s2.0-S1286457901015222-main.pdf; source_check_method=local_pdf_text; checked_evidence_location=1-s2.0-S1286457901015222-main.txt lines 24-32, 68-76, 166-167"
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Pteropus vampyrus,132908,reservoir_host,draft_source_backed,high,host_role_evidence:source_check:candidate_013,Direct species-level natural infection support.,TRUE,"source_check_candidate_id=candidate_013; caveat=Malaysia P. vampyrus context.; decision_reason=Direct species-level natural infection support.; source_access=official_page / abstract_only; file_name=09-1790_finalD.pdf, evidence-for-nipah-virus-recrudescence-and-serological-patterns-of-captive-pteropus-vampyrus.pdf; source_check_method=local_pdf_text; checked_evidence_location=09-1790_finalD.txt lines 28-32, 50-54; evidence-for-nipah-virus-recrudescence...txt lines 449-462, 511-513"
Plague,Yersinia pestis,Yersinia pestis,Cynomys ludovicianus,45480,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_020,Direct species-level amplifying-host wording.,TRUE,"source_check_candidate_id=candidate_020; caveat=North American prairie-dog epizootic role; not a universal plague reservoir claim.; decision_reason=Direct species-level amplifying-host wording.; source_access=full_text; file_name=jmedent40-0718.pdf; source_check_method=local_pdf_text; checked_evidence_location=jmedent40-0718.txt lines 18-24, 43-49"
West Nile fever,Orthoflavivirus nilense,Orthoflavivirus nilense,Turdus migratorius,9188,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_022,Official named-host amplifier evidence.,TRUE,source_check_candidate_id=candidate_022; caveat=Species name in guideline has OCR typo; map to Turdus migratorius with review note.; decision_reason=Official named-host amplifier evidence.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 132-134
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Bos taurus,9913,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_025,Direct review support for cattle as part of named amplifying livestock set.,TRUE,"source_check_candidate_id=candidate_025; caveat=Cattle are important amplifying livestock but generally less susceptible to clinical disease than sheep/goats.; decision_reason=Direct review support for cattle as part of named amplifying livestock set.; source_access=abstract_only; file_name=linthicum2016.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 58-60, 600-601, 858-859"
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Bandavirus dabieense,Erinaceus amurensis,757341,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_033,Direct species-level amplifying-host support.,TRUE,"source_check_candidate_id=candidate_033; caveat=China/endemic-area hedgehog evidence; not a global host claim.; decision_reason=Direct species-level amplifying-host support.; source_access=abstract_only; file_name=22-0668.pdf; source_check_method=local_pdf_text; checked_evidence_location=22-0668.txt lines 13-34, 80-87, 165-174"
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Apodemus flavicollis,54292,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_036,Species-level TBEV host support is sufficient for candidate import.,TRUE,"source_check_candidate_id=candidate_036; caveat=Review plus experimental support; reservoir role is shared with broader small rodent community.; decision_reason=Species-level TBEV host support is sufficient for candidate import.; source_access=abstract_only; file_name=viruses-11-00669.pdf, s41598-023-47697-2.pdf; source_check_method=local_pdf_text; checked_evidence_location=viruses-11-00669.txt; s41598-023-47697-2.txt"
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,Myodes glareolus,447135,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_037,Species-level TBEV host support is sufficient for candidate import.,TRUE,source_check_candidate_id=candidate_037; caveat=Review-based support; reservoir role is shared with broader small rodent community.; decision_reason=Species-level TBEV host support is sufficient for candidate import.; source_access=abstract_only; file_name=viruses-11-00669.pdf; source_check_method=local_pdf_text; checked_evidence_location=viruses-11-00669.txt
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Gorilla gorilla,9593,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_040,Direct wildlife source/species evidence with non-reservoir caveat.,TRUE,"source_check_candidate_id=candidate_040; caveat=Great apes are spillover/source animals in documented chains, not reservoir hosts.; decision_reason=Direct wildlife source/species evidence with non-reservoir caveat.; source_access=full_text / abstract_only; file_name=document_ebola1.pdf; source_check_method=local_pdf_text; checked_evidence_location=document_ebola1.txt lines 8-20, 30-36"
Ebola virus disease,Orthoebolavirus zairense,Orthoebolavirus zairense,Pan troglodytes,9598,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_041,Direct wildlife source/species evidence with non-reservoir caveat.,TRUE,"source_check_candidate_id=candidate_041; caveat=Great apes are spillover/source animals in documented chains, not reservoir hosts.; decision_reason=Direct wildlife source/species evidence with non-reservoir caveat.; source_access=full_text / abstract_only; file_name=document_ebola1.pdf; source_check_method=local_pdf_text; checked_evidence_location=document_ebola1.txt lines 8-20, 30-36"
Marburg virus disease,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Chlorocebus aethiops,9534,incidental_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_042,Official historical source-animal support.,TRUE,"source_check_candidate_id=candidate_042; caveat=Historical/laboratory-associated source-animal role; not reservoir evidence.; decision_reason=Official historical source-animal support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=WHO Marburg fact sheet lines 224-226, 259-264"
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Pteropus lylei,166054,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_043,Reasonable species-level reservoir support.,TRUE,"source_check_candidate_id=candidate_043; caveat=Cambodia/Thailand species-level support; add alongside existing Pteropus spp. group with caveat.; decision_reason=Reasonable species-level reservoir support.; source_access=abstract_only; file_name=19-1284.pdf, 10.5372_1905-7415.0706.244.pdf; source_check_method=local_pdf_text; checked_evidence_location=19-1284.txt; 10.5372_1905-7415.0706.244.txt lines 18-20, 256-258"
Nipah virus disease,Henipavirus nipahense,Henipavirus nipahense,Pteropus medius,143291,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_044,Reasonable species-level reservoir support.,TRUE,"source_check_candidate_id=candidate_044; caveat=India/Kerala species-level evidence; add alongside existing Pteropus spp. group with caveat.; decision_reason=Reasonable species-level reservoir support.; source_access=full_text / abstract_only; file_name=18-1076-1.pdf, 12879_2021_Article_5865.pdf; source_check_method=local_pdf_text; checked_evidence_location=18-1076-1.txt; 12879_2021_Article_5865.txt"
Lassa fever,Mammarenavirus lassaense,Mammarenavirus lassaense,Hylomyscus pamfi,913014,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_047,Direct species-level reservoir support.,TRUE,"source_check_candidate_id=candidate_047; caveat=Newer/additional reservoir species; region-specific and less canonical than M. natalensis.; decision_reason=Direct species-level reservoir support.; source_access=full_text; file_name=srep25280.pdf, viruses-12-00312.pdf; source_check_method=local_pdf_text; checked_evidence_location=srep25280.txt lines 13-20, 183-190, 203-207; viruses-12-00312.txt lines 475-478"
Lassa fever,Mammarenavirus lassaense,Mammarenavirus lassaense,Mastomys erythroleucus,41268,reservoir_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_048,Direct species-level reservoir support.,TRUE,"source_check_candidate_id=candidate_048; caveat=Additional reservoir species; region-specific and less canonical than M. natalensis.; decision_reason=Direct species-level reservoir support.; source_access=full_text; file_name=srep25280.pdf, viruses-12-00312.pdf; source_check_method=local_pdf_text; checked_evidence_location=srep25280.txt lines 13-20, 107-118, 183-190, 203-207; viruses-12-00312.txt lines 475-478"
Lassa fever,Mammarenavirus lassaense,Mammarenavirus lassaense,Mus baoulei,544437,reservoir_host,draft_source_backed,medium,host_role_evidence:Olayemi 2026 non-Mastomys rodents,Active LASV viremia and lineage evidence in field-captured Mus baoulei supports a caveated reservoir role.,TRUE,New 2026 early-access evidence from Benin; exact roster species; non-Mastomys reservoir candidate less established than Mastomys natalensis.
Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae (H5N1),Felis catus,9685,susceptible_host_only,draft_source_backed,medium,host_role_evidence:source_check:candidate_050,Direct susceptible-host support.,TRUE,"source_check_candidate_id=candidate_050; caveat=Susceptible host evidence only; role in broader epidemiology remains uncertain.; decision_reason=Direct susceptible-host support.; source_access=abstract_only; file_name=mostafa-et-al-2024-avian-influenza-a-(h5n1)-virus-in-dairy-cattle-origin-evolution-and-cross-species-transmission.pdf, marschall-hartmann-2008-avian-influenza-a-h5n1-infections-in-cats.pdf; source_check_method=local_pdf_text; checked_evidence_location=marschall-hartmann-2008...txt lines 11-22, 31-38, 90-118"
Mpox (Monkeypox),Orthopoxvirus monkeypox,Orthopoxvirus monkeypox,Cercocebus atys,9531,spillover_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_051,Accept as caveated spillover host.,TRUE,"source_check_candidate_id=candidate_051; caveat=Single-chain/specific-event evidence; not reservoir evidence.; decision_reason=Accept as caveated spillover host.; source_access=full_text; file_name=ofae503.pdf, s41586-025-10086-y.pdf; source_check_method=local_pdf_text; checked_evidence_location=s41586-025-10086-y.txt; ofae503.txt"
Mpox (Monkeypox),Orthopoxvirus monkeypox,Orthopoxvirus monkeypox,Cynomys ludovicianus,45480,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:candidate_052,Direct outbreak and experimental transmission support.,TRUE,"source_check_candidate_id=candidate_052; caveat=Prairie dogs were outbreak amplification/transmission hosts in 2003 US context; not natural reservoir evidence.; decision_reason=Direct outbreak and experimental transmission support.; source_access=report_pdf | abstract_only | full_text; file_name=cdc_132180_DS1.pdf, 10.1056/NEJMoa032299, 07-0175_finalR.pdf, mpox_dog.pdf; source_check_method=local_pdf_text; checked_evidence_location=cdc_132180_DS1.txt lines 29-43; NEJMoa032299.txt lines 44-57, 240-264; mpox_dog.txt lines 395-398, 430-432"
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,Erythrocebus patas,9538,amplifying_host,draft_source_backed,medium,host_role_evidence:source_check:manual_chikungunya_althouse2018_erythrocebus_patas,Direct species-level support for patas monkeys as sylvatic amplification hosts with non-reservoir caveat.,TRUE,"source_check_candidate_id=manual_chikungunya_althouse2018_erythrocebus_patas; caveat=Senegal/Kedougou sylvatic-cycle context; source does not establish continuous maintenance or reservoir status.; decision_reason=Direct species-level support for patas monkeys as sylvatic amplification hosts with non-reservoir caveat.; source_access=local_pdf_text; file_name=althouse2018_chikungunya_senegal_monkeys.pdf; source_check_method=local_pdf_text; checked_evidence_location=althouse2018_chikungunya_senegal_monkeys.txt lines 69-70, 151-153, 199-208, 490"
